,UM25C Excel,,,,,,
,,,,,2.999935598,<5,5
公司：杭州睿登科技,,表格数据,,,,,
Voltage-Current,,,,,,,
  Time （s）,  Voltage  (V),  Current  (A),,,,,
129,5.09,1.2711,6.469899,3.469963402,,,
130,5.09,1.2565,6.395585,3.395649402,,,
131,5.09,1.2565,6.395585,3.395649402,,,
132,5.09,1.2683,6.455647,3.455711402,,,
133,5.09,1.2638,6.432742,3.432806402,,,
134,5.089,1.2679,6.4523431,3.452407502,,,
135,5.089,1.2679,6.4523431,3.452407502,,,
136,5.089,1.2783,6.5052687,3.505333102,,,
137,5.089,1.2646,6.4355494,3.435613802,,,
138,5.088,1.2787,6.5060256,3.506090002,,,
139,5.088,1.2628,6.4251264,3.425190802,,,
140,5.09,1.2628,6.427652,3.427716402,,,
141,5.088,1.2608,6.4149504,3.415014802,,,
142,5.088,1.2654,6.4383552,3.438419602,,,
143,5.089,1.2817,6.5225713,3.522635702,,,
144,5.09,1.2817,6.523853,3.523917402,,,
145,5.089,1.2709,6.4676101,3.467674502,,,
146,5.089,1.2811,6.5195179,3.519582302,,,
147,5.088,1.265,6.43632,3.436384402,,,
148,5.089,1.261,6.417229,3.417293402,,,
149,5.088,1.261,6.415968,3.416032402,,,
150,5.089,1.2549,6.3861861,3.386250502,,,
151,5.089,1.2673,6.4492897,3.449354102,,,
152,5.087,1.2712,6.4665944,3.466658802,,,
153,5.087,1.2712,6.4665944,3.466658802,,,
154,5.087,1.2712,6.4665944,3.466658802,,,
155,5.087,1.2679,6.4498073,3.449871702,,,
156,5.087,1.2636,6.4279332,3.427997602,,,
157,5.087,1.2756,6.4889772,3.489041602,,,
158,5.088,1.2756,6.4902528,3.490317202,,,
159,5.088,1.2757,6.4907616,3.490826002,,,
160,5.088,1.2638,6.4302144,3.430278802,,,
161,5.087,1.2767,6.4945729,3.494637302,,,
162,5.088,1.2767,6.4958496,3.495914002,,,
163,5.088,1.2925,6.57624,3.576304402,,,
164,5.088,1.2671,6.4470048,3.447069202,,,
165,5.089,1.2905,6.5673545,3.567418902,,,
166,5.088,1.2819,6.5223072,3.522371602,,,
167,5.088,1.2819,6.5223072,3.522371602,,,
168,5.089,1.2777,6.5022153,3.502279702,,,
169,5.089,1.2718,6.4721902,3.472254602,,,
170,5.087,1.2506,6.3618022,3.361866602,,,
171,5.087,1.2506,6.3618022,3.361866602,,,
172,5.086,1.2748,6.4836328,3.483697202,,,
173,5.086,1.3119,6.6723234,3.672387802,,,
174,5.074,1.3421,6.8098154,3.809879802,,,
175,5.082,1.3708,6.9664056,3.966470002,,,
176,5.081,1.3708,6.9650348,3.965099202,,,
177,5.087,1.3522,6.8786414,3.878705802,,,
178,5.087,1.2803,6.5128861,3.512950502,,,
179,5.087,1.2868,6.5459516,3.546016002,,,
180,5.087,1.2868,6.5459516,3.546016002,,,
181,5.089,1.2865,6.5469985,3.547062902,,,
182,5.089,1.2985,6.6080665,3.608130902,,,
183,5.086,1.2779,6.4993994,3.499463802,,,
184,5.087,1.2962,6.5937694,3.593833802,,,
185,5.085,1.2962,6.591177,3.591241402,,,
186,5.097,1.2874,6.5618778,3.561942202,,,
187,5.097,1.2972,6.6118284,3.611892802,,,
188,5.087,1.2828,6.5256036,3.525668002,,,
189,5.087,1.2828,6.5256036,3.525668002,,,
